loc_branchid,swiq_location_id
114335-111606,5ae1475e1b8a54d344bd0003
116159-114962,5ae147639048582417548551
"DMT OF GA-115013",5ae147649048582417548554
116673-115467,5ae147648814357f61bb7541
116831-115620,5ae14766904858241754855a
97056-96755,5ae243dee6b41744110c9d39
98544-98203,5ae243dffc2526ff0f2e1324
98944-98588,5ae243df7149961a579b2021
99223-98862,5ae243dfd4417ef537f81d9c
100560-97093,5ae243e05aaea8573dea4f54
103759-103244,5ae243e040a2f0077d95f0c8
104322-103761,5ae243e1fc2526ff0f2e1327
111335-110382,5ae243e25e667eb44f5aab39
97298-96993,5ae9f1a47cb4b6441fb5db34
84329-84359,5b281684dd33af3164a59921
121957-116672,5b2819da2044f7bb534d31ab
121227-115972,5b2819db01207f1e2bd33f43
92349-92193,5b2819db7cfdeaae39efebac
122544-117242,5b2819db99805f3758b42746
126759-117453,5b2819e16b8879bc439a6996
121779,5bbcaef65205d43b4cd42114
121778-116498,5b299ea31881c4027cc48806
121781,5bc4fb6d2dea68e02c089551
1-119331,5b326c8e3a91b4f354b676e4
127589-118162,5b3e7c5c104cf8c75b0dfb07
9000001-117806,5b3eafe9104cf8c75b0e7c1b
1-118146,5b3f53ec52e8c80826f18938
"Moxy Times Square-99568",5b45c6893e79b9642c6730de
122006-116721,5b462e951b2e634a6a73f42e
3-116457,5b53bf9213bf00f328cc520c
127865-97059,5b58245f0a4f53864effe052
127821-118414,5b610d9b2dd505dd6ba8c6fd
886-40426,5b6a39b6f3d6f7e847133c20
Northeast-118309,5b6c404046afe392778cc002
128184,5b73409511a0038c4a6a72c1
201,5b7f615d4d4ac32871d748aa
26042,5b7f615ec269b1070440624e
108266,5b7f615f9c6445c60273a381
108833,5b9aaa4781d0a71134b55427
1-118803,5baa8147ee5b668a5920de02
Mississippi-118309,5bb3f884720e1b2f1ac5ff63
128217-115669,5bb4ef8e0034e80a36caa769
"Arden Hills-103244",5bbc20d25a4cb4453f83c966
128833-119091,5bbfd92efa6ef5692cd275d2
128198-118740,5bc033dcd187410f4e9c1907
1-119290,5bc693c416b84a45152bb29a
111-119363,5bd0d8c4ca477522208c0b8f
3-40426,5bd0d8c449aa333e22e14945
10896-40426,5bd0d8bcca477522208c0b8c
KS-001-40426,5bd0d8c077df35581954e768
129056-40426,5bd0d8c0de92c155743a059a
129057-40426,5bd0d8c0fd0eb24c1134da26
129058-40426,5bd0d8c1672fac4f03bd6176
129059-40426,5bd0d8c1a4cde256209fba9e
129060-40426,5bd0d8c10209db8560cc6da2
129061,5bd0d8c377df35581954e76b
1-119196,5bd24bd4f2c5ec640b9aa4a6
"Cupertino #22-119245",5be0aa3a1806ccd530cc168c
132157-119363,5be0cbf8349dd1dd52469113
132158-119363,5be0cbf8dc4782a163e47fab
132159-119363,5be0cbf8057cd9db7d104dc1
132160-119363,5be0cbf80d20d5ac7f8651a3
132161-119363,5be0cbf8b4b2fbfc629ff987
1-119363,5be0cbf91806ccd530cc575b
105-119363,5be0cbf9dc4782a163e47fae
106-119363,5be0cbfa057cd9db7d104dc4
109-119363,5be0cbfa0d20d5ac7f8651a6
132220,5be0cbfa706e47e330a72f89
116-119363,5be0cbfbb4b2fbfc629ff9d8
119-119363,5be0cbfb057cd9db7d104dc7
120-119363,5be0cbfcd3acaf7058ec3098
123-119363,5be0cbfc0d20d5ac7f8651a8
126-119363,5be0cbfcb4b2fbfc629ffa2b
129-119363,5be0cbfcb4b2fbfc629ffa2a
134-119363,5be0cbfc349dd1dd52469188
135-119363,5be0cbfcdc4782a163e4804c
136-119363,5be0cbfd349dd1dd5246918b
137-119363,5be0cbfd349dd1dd5246918e
139-119363,5be0cbfd0d20d5ac7f8651ac
141-119363,5be0cbfdd3acaf7058ec309b
142-119363,5be0cbfe057cd9db7d104dca
144-119363,5be0cbfe706e47e330a72ffa
146-119363,5be0cbfedc4782a163e4804f
147-119363,5be0cbffa70eea4a2fa5c70c
148-119363,5be0cbffa70eea4a2fa5c730
150-119363,5be0cc000d20d5ac7f8651d4
"Clifton Heights #21-119325",5be0cc0008f46dc9210ca387
"Oakley #45-119325",5be0cc00d3acaf7058ec30f1
132453-119454,5be1b2be08f46dc9210daa50
"North Decatur #39-119136",5beb8bd21715c9562079ad33
"Highlands Ranch #37-119389",5beb8bf91715c9562079aec1
"Dillon #33-119388",5beb8bf9a06d095b519376b7
"East Irvine #51-119446",5beb8d4a1715c9562079aec5
"Bend #05-119387",5beb8bfba8c8bec971344705
"Beaverton #1-119387",5beb8bfbf29c525b0c773aee
"Multnomah Village #6-119387",5beb8bfaa79ba4757390c52f
"DuPont Circle #49-119460",5beb8d4ad44d15aa20027b9e
"Lowry #50-119489",5beb8d4aa79ba4757390c539
NYC1-119475,5becdda6b70cb61828e64a41
"Toco Hills #32-119136",5bf04494484a9b080e13a061
132671-103172,5bf460da97ba52b102e498dd
128270-118811,5bf4dfcae031bc53060ec736
28-118725,5bf4fbf1269ce1ca293d4081
"Sacramento Midtown #36-119458",5bf51e93e031bc53060f1875
"Billings Downtown #13-119538",5bf573ebffdafc285402b86a
"SanTan Village-118309",5bf5cb80ccf2769728345445
128247-118789,5bf618eb35d34de27d1f116e
"Superior #26-119385",5bfd049c01d1320a479add5a
90-118435,5bfefd224908c5b957955604
1033-118435,5bfefd2377d5d28c779b76b3
1058-118435,5bfefd231a2c7a7259b52780
1066-118435,5bfefd2301d1320a479d2543
1064-118435,5bfefd241548b1744b09146a
1063-118435,5bfefd24e8f2937b7494eddb
1065-118435,5bfefd24383048b40a01131f
132494-118435,5bfefd249854a3336157a5e3
1062-118435,5bfefd3b8f0a29871c38ec65
1041-118435,5bfefd3b98837bb5374f1299
420-118435,5bfefd3b4908c5b957955607
129219-119263,5c0015c21a2c7a7259b70122
132809-119665,5c01f5fb9854a333615c366e
"Newcastle #35-119461",5c02106b9854a333615c3957
"Pasadena #23-119599",5c08c27b481d1fc34d8a30d8
"Fremont #12-119535",5c0f7aadf20eeb6275a06198
2-119196,5c0fb841149253b507685bcc
132954-119730,5c13c8168ed2e9f5287d38c3
"Willo #17-119458",5c141fc68ef0cd59794309d8
22495-24625,5c199f58e329d2344579df2d
133052-119454,5c1a6612e329d234457a9217
133053-119454,5c1a6686fe8b8a6534e32812
133054-119454,5c1a6cf6a119c3846f714f9c
133055-119454,5c1a6d867ae16ab82af7d8ea
107228,5c1cd5be9eab66e369c8f11f
121780,5c1cd5d48b24b5115e8a5b6e
129260,5c1cdf213026bfd53daccfad
132493,5c1cdee89ab4e6e7168132d3
